Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
2007,India,Maharashtra,Soybeans,15.44,2778.33,6.69,2.22,3,21.05,8.57,86.83,91.5,Drought-resistant Crops,327.04
2013,India,Punjab,Cotton,15.01,1740.11,28.88,3.69,7,59.09,26.68,94.26,48.25,No Adaptation,456.39
2014,India,West Bengal,Vegetables,24.84,597.92,19.49,1.98,7,54.74,30.4,60.04,30.59,Water Management,480.98
1992,India,Punjab,Cotton,33.5,2033.3,11.04,0.9,2,76.61,15.27,62.06,94.77,Crop Rotation,254.28
2021,India,Punjab,Vegetables,-3.63,1194.74,13.25,1.12,7,50.78,11.46,15.09,96.15,Drought-resistant Crops,292.05
1996,India,West Bengal,Sugarcane,0.88,2672.09,23.82,2.115,1,73.45,28.52,80.67,34.22,Drought-resistant Crops,535.92
1998,India,Maharashtra,Barley,2.25,1160.73,8.24,2.08,1,65.27,3.06,5.47,61.85,Organic Farming,395.51
1995,India,Punjab,Soybeans,30.38,555.33,5.31,1.33,6,82.27,36.64,23.96,41.55,Organic Farming,617.82
2023,India,Tamil Nadu,Sugarcane,1.83,1530.36,11.55,2.75,3,44.76,44.76,20.17,75.08,Drought-resistant Crops,804.79
1994,India,West Bengal,Rice,2.48,2722.96,17.96,1.737,8,93.89,44.66,95.58,65.29,Drought-resistant Crops,753.51
2008,India,West Bengal,Soybeans,-1.7,266.84,9.02,1.737,2,61.07,41.98,92.62,69.05,No Adaptation,296.19
2023,India,West Bengal,Wheat,9.45,1501.52,11.19,1.05,9,95.35,16.37,2.18,87.57,Drought-resistant Crops,481.63
1997,India,Tamil Nadu,Soybeans,16.28,2157.76,29.19,3.465,7,15.87,9.9,50.01,49.04,Crop Rotation,1427.94
2023,India,Punjab,Wheat,25.24,1286.6,17.36,1.287,0,38.65,31.41,1.93,68.18,Organic Farming,223.01
2006,India,Punjab,Barley,29.54,758.21,13.25,2.82,1,87.31,35.74,60.05,92.16,Drought-resistant Crops,554.45
1991,India,Tamil Nadu,Sugarcane,17.8,2333.03,11.49,2.63,5,77.06,22.16,5.18,83.87,No Adaptation,603.91
2008,India,Punjab,Soybeans,15.27,1729.28,7.87,1.99,4,39.86,27.55,33.29,44.56,Organic Farming,503.78
1993,India,Tamil Nadu,Vegetables,13.5,2624.86,17.49,2.916,7,14.95,28.41,44.27,68.24,No Adaptation,297.94
2001,India,West Bengal,Barley,32.73,2219.82,22.52,3.204,3,78.62,6,42.13,65.45,No Adaptation,1416.49
2000,India,West Bengal,Barley,30.76,440.93,21.69,2.547,8,98.62,9.02,45.99,70.21,Crop Rotation,1175.5
2002,India,West Bengal,Vegetables,-4.87,2159.07,17.63,0.765,9,95.73,27.86,47.65,92.34,Crop Rotation,115.75
1997,India,West Bengal,Fruits,26.81,1664.2,12.19,2.19,2,63.11,26.97,20.62,58.19,Crop Rotation,642.28
1997,India,Punjab,Soybeans,19.89,1966.89,1.89,1.92,6,10.57,49.42,25.72,31.88,Organic Farming,325.32
1999,India,West Bengal,Rice,-3.9,634.46,20.04,2.376,3,60.14,18.76,26.09,56.67,No Adaptation,1014.74
2016,India,Maharashtra,Fruits,6.23,302.22,19.39,0.945,6,55.47,8.86,64.56,40.93,Organic Farming,421.91
1994,India,Punjab,Coffee,4.66,1763.35,22.61,0.684,6,72.58,20.9,10.46,80.68,Crop Rotation,196.87
1996,India,West Bengal,Sugarcane,0.33,1239.78,0.68,0.7,7,20.97,31.43,40.25,62.34,Water Management,345.52
2012,India,West Bengal,Fruits,1.38,770.07,18.02,1.449,8,31.23,45.02,91.56,53.41,Crop Rotation,224.81
1998,India,Punjab,Fruits,-2.08,2476.59,7.14,1.86,1,67.42,36.58,48.01,48.72,Crop Rotation,324.15
1991,India,Maharashtra,Fruits,25.74,2980.09,1.65,1.32,1,71.88,0.53,64.62,72.85,Water Management,306.73
1990,India,Tamil Nadu,Cotton,2.25,1692.05,2.23,2.76,2,96.7,45.74,66.53,74.8,Crop Rotation,1083
1994,India,Tamil Nadu,Corn,0.94,1903.96,23.48,1.845,4,14.36,42.95,20.02,39.66,Organic Farming,808.99
2007,India,Maharashtra,Vegetables,1.85,975.44,0.53,1.65,9,35.38,20.48,48.64,61.44,Drought-resistant Crops,544.01
2021,India,Punjab,Vegetables,27.84,1461.64,28.36,3.429,5,64.14,6.73,13.26,50.97,Drought-resistant Crops,849.11
2022,India,Punjab,Barley,13.35,1687.82,24.08,4.401,4,35.8,9.09,44.95,88.66,No Adaptation,2144.07
2019,India,Maharashtra,Wheat,17.13,1406.47,8.24,3.24,0,18.02,37.95,32.09,85.26,Water Management,789.67
2020,India,Punjab,Sugarcane,7.66,267.14,26.89,2.295,6,27.79,5.88,89.68,55.22,Organic Farming,1040.46
1995,India,West Bengal,Soybeans,28.75,2897.22,4.56,1.98,8,62.28,45.94,83.3,90.69,No Adaptation,613.87
2008,India,Punjab,Soybeans,21.5,1927.82,27.29,3.06,7,68.1,48.39,4.1,56.07,Crop Rotation,828.21
2013,India,Tamil Nadu,Rice,17.22,1153.27,25.2,2.736,5,59.28,23.48,65.34,92.56,Crop Rotation,996.9
1993,India,Punjab,Vegetables,-0.9,1932.56,25.98,2.268,3,46.27,16.05,92.56,55.2,No Adaptation,716.49
2022,India,Tamil Nadu,Corn,3.65,1393.29,18.97,2.403,3,48.56,40.72,38.88,60.44,Drought-resistant Crops,546.87
1992,India,West Bengal,Cotton,8.94,2141.28,0.67,2.08,7,19.75,13.12,17.21,77.24,Organic Farming,906.93
2005,India,Tamil Nadu,Cotton,8.25,1159.84,16.05,1.917,1,22.52,29.94,73.19,54.98,No Adaptation,341.39
2022,India,Punjab,Vegetables,23.24,2273.05,14.8,2.8,2,11.76,22.9,98.04,37.69,Organic Farming,947.47
1995,India,West Bengal,Wheat,24.68,2067,10.96,1.57,7,46.22,44.1,93.88,95.18,Drought-resistant Crops,698.82
2009,India,Tamil Nadu,Barley,20.36,949.14,23.1,3.537,0,65.34,6.29,21.64,30.72,Crop Rotation,1517.06
2019,India,Punjab,Coffee,-3.72,1456.16,2.36,0.85,10,58.93,18.48,63.19,96.59,Water Management,223.57
2011,India,Maharashtra,Soybeans,-0.5,970.53,16.12,2.097,0,12.87,46.53,66.19,85.11,Crop Rotation,676.17
2010,India,Tamil Nadu,Fruits,-2.25,846.25,24.77,1.485,7,70.54,28.59,81.23,65.24,Organic Farming,218.86
2005,India,Maharashtra,Cotton,16.46,395.99,17.54,2.565,4,28.8,49.95,16.53,65.25,Drought-resistant Crops,479.56
2019,India,Maharashtra,Wheat,31.3,1601.16,2.93,1.13,7,16.14,2.7,6.42,38.51,Drought-resistant Crops,438.12
2007,India,Punjab,Cotton,-0.64,2459.28,4.55,2.19,1,16.33,22.31,73.42,97.38,Organic Farming,736.33
2001,India,Tamil Nadu,Fruits,14.05,1544.92,6.05,2.71,9,32.43,0.62,83.86,39.45,Water Management,295.51
2003,India,Maharashtra,Coffee,16.07,645.46,19.16,3.546,2,15.07,3.9,77.82,73.72,Crop Rotation,1047.77
2005,India,Punjab,Sugarcane,14.77,1969.38,17.78,4.005,4,45.24,37.43,2.67,90.44,Crop Rotation,1547.08
2018,India,West Bengal,Rice,2.74,497.31,8.34,0.846,9,13.09,19.54,43.32,52.77,Drought-resistant Crops,311.28
2020,India,Punjab,Fruits,18,2399.84,13.69,3.15,6,13.53,16,86.63,52.9,No Adaptation,704.27
2023,India,Punjab,Sugarcane,33.64,2879.63,0.98,3.73,4,80.15,9.98,24.58,71.75,Organic Farming,1431.06
2017,India,Maharashtra,Vegetables,20.76,1056.95,27.63,3.024,2,24.1,48.43,25.13,57.28,Water Management,698
2018,India,West Bengal,Rice,26.93,2535.88,20.92,1.764,9,64.51,20.07,65.38,76.11,No Adaptation,270.4
2007,India,Maharashtra,Rice,24.87,1143.43,1.92,1.64,8,14.18,49.16,95.65,65.29,Drought-resistant Crops,690.47
1998,India,Maharashtra,Sugarcane,-3.47,1650.09,17.44,0.828,9,15.6,29.87,0.46,88.71,Crop Rotation,372.59
2021,India,West Bengal,Sugarcane,14.17,1708.89,24.42,3.312,5,24.94,37.24,95.1,51.06,Crop Rotation,1391.61
1998,India,Punjab,Soybeans,29.11,2264.76,9.45,3.93,1,72.78,49.17,25.78,98.81,Crop Rotation,583.89
2022,India,West Bengal,Wheat,12.81,1004.6,27.34,2.403,9,11.79,23.76,48.44,34.84,Drought-resistant Crops,1060.28
2015,India,Maharashtra,Corn,23.37,2743.05,7.7,2.91,9,50.6,18.27,71.8,30.43,No Adaptation,924.69
1991,India,West Bengal,Corn,-3.72,629.15,27.51,2.457,10,43.74,10.77,23.99,53.57,Organic Farming,1044.71
2001,India,Tamil Nadu,Fruits,32.87,578.54,5.34,3.78,6,86.06,42.96,74.06,49.87,Crop Rotation,671.67
2008,India,West Bengal,Rice,16.26,911.22,13.09,4.58,1,66.66,37.44,22.44,61.48,Water Management,538.35
2011,India,Tamil Nadu,Barley,31.06,229.67,2.12,2.079,1,20.49,4.04,8.69,41.72,No Adaptation,919.15
2011,India,West Bengal,Vegetables,-1.34,2804.29,19.04,2.214,4,75.55,48.19,60.33,80.5,Water Management,632.87
2003,India,West Bengal,Corn,5.19,2944.95,6.76,2.09,7,11.15,36.74,68.76,63.56,Organic Farming,644.34
2004,India,Punjab,Corn,-2.91,1561.55,11.89,1.66,4,75.89,6.42,11.53,55.01,Organic Farming,244.81
2009,India,West Bengal,Rice,29.08,1945.13,2.81,3.22,3,84.68,8.06,34.97,35.24,Crop Rotation,938.77
1991,India,Maharashtra,Barley,7.27,237.07,28.39,2.529,2,35.12,42.69,86.16,53.01,No Adaptation,1256.22
2023,India,Maharashtra,Rice,18.74,956.86,4.03,1.51,1,88.87,40.27,49.03,94.56,Water Management,519.74
1997,India,West Bengal,Vegetables,8.63,655.53,21.66,1.134,5,37.55,29.92,41.11,79.9,Crop Rotation,224.55
1995,India,West Bengal,Cotton,25.69,491.81,13.78,2.619,3,29.53,42.26,30.11,46.64,Organic Farming,467.32
2013,India,Punjab,Coffee,19.92,1257.54,11.39,3.92,8,48.4,38.98,36.2,43.79,Drought-resistant Crops,1346.98
1993,India,West Bengal,Fruits,0.8,2656.93,19.82,2.7,8,20.51,22.84,94.42,43.07,No Adaptation,540.51
1993,India,Maharashtra,Vegetables,2.36,1487.64,12.86,1.53,7,47.93,12.64,67.32,72.69,Drought-resistant Crops,587.54
2000,India,West Bengal,Sugarcane,32.28,2616.73,16.33,3.141,8,99.94,43.95,76.36,58.25,Water Management,1428.53
1994,India,West Bengal,Rice,6.96,2785.24,17.95,2.205,5,98.95,42.41,15.45,33.74,Drought-resistant Crops,383.39
2024,India,Punjab,Coffee,14.89,1152.02,3.72,4.76,6,89.44,42.62,75.25,37.44,No Adaptation,1915.27
2019,India,Punjab,Wheat,-0.91,2593.28,7.27,1.29,0,98.51,42.92,85.84,39.42,Organic Farming,465.88
2004,India,Punjab,Corn,-3.45,1159.38,4.97,1.39,3,98.67,2.79,59.95,64.92,No Adaptation,639.76
2013,India,Punjab,Cotton,-4.07,2164.41,11.5,1.3,7,93.76,41.82,47.72,85.78,Drought-resistant Crops,390.35
2000,India,Tamil Nadu,Sugarcane,32.92,1970.08,23.22,2.151,8,82.19,2.39,80.8,38.58,Water Management,969.12
2023,India,Tamil Nadu,Sugarcane,18.11,1114.81,16.41,3.258,7,67.85,46.27,85.53,43.61,No Adaptation,1317.27
2006,India,Tamil Nadu,Cotton,33.25,1011.53,5.81,1.27,0,75.22,28.98,70.44,37.14,Crop Rotation,398.13
2018,India,Tamil Nadu,Barley,4.77,856.65,21.85,1.953,8,74.23,25.73,23.32,76.97,Drought-resistant Crops,617.29
2010,India,Tamil Nadu,Corn,21.95,593.96,8.49,3.73,1,47.38,26.29,34.6,92.81,No Adaptation,851.64
2009,India,Punjab,Rice,31.96,2556.22,14.19,3.81,1,31.95,41.25,28.54,90.28,Crop Rotation,451.41
1993,India,West Bengal,Cotton,4.37,2101.37,12.25,1.13,5,98.69,26.35,1.02,49.42,Drought-resistant Crops,155.03
2018,India,Punjab,Vegetables,14.68,2403.86,3.3,2.89,0,65.05,16.26,48.79,93.05,Drought-resistant Crops,1401.11
2000,India,Tamil Nadu,Fruits,9.46,653.52,18.21,0.9,7,25.56,17.6,98.43,30.81,No Adaptation,288.35
2022,India,Punjab,Sugarcane,19.68,1836.46,0.67,3.15,9,54.76,49.19,61.87,31.76,Organic Farming,1129.47
2013,India,Maharashtra,Corn,13.93,1027.19,9.18,2.01,5,40.41,1.03,27.01,98.05,Organic Farming,516.3
2006,India,Maharashtra,Corn,18.96,2793.41,28.26,3.654,9,18.27,1.32,95.4,50.08,Water Management,687.79
2016,India,Punjab,Rice,7.17,1120.67,29.26,1.71,6,47.4,8.74,95.68,81.94,Drought-resistant Crops,614.83
2021,India,West Bengal,Coffee,26.92,1431.54,9.11,3.31,1,67.78,42.42,22.63,36.87,Crop Rotation,961.59
1999,India,Maharashtra,Soybeans,-2.18,2975.38,23.65,0.531,1,29.96,14.2,10.46,52.69,Organic Farming,217.56
2002,India,Punjab,Sugarcane,26.76,2969.83,21.34,0.99,3,21.23,3.39,87.49,72.01,Crop Rotation,224.61
1996,India,West Bengal,Rice,28.19,2934.88,6.82,2.64,9,61.91,24.73,53.28,45.1,Crop Rotation,1054.09
2021,India,Tamil Nadu,Coffee,1.67,2571.04,10.84,0.78,0,71.41,36.3,41.12,43.94,Water Management,283.65
2021,India,West Bengal,Fruits,9.78,571.29,26.44,1.035,6,71.14,30.21,51.18,99.86,Organic Farming,281.88
2003,India,Punjab,Fruits,1.2,2069.58,25.26,1.107,2,90.15,3.26,25.63,63.9,Organic Farming,231.97
2006,India,West Bengal,Vegetables,25.33,2968.53,15.45,3.132,2,98.52,10.85,52.45,74.97,Organic Farming,539.41
2005,India,Punjab,Corn,25.39,2861.44,23.27,1.413,8,75.16,23.52,2.16,60.56,Water Management,421.02
1999,India,Punjab,Coffee,-0.79,248.53,8.51,0.981,3,23.88,42.09,73.12,56.08,Drought-resistant Crops,392.48
2012,India,West Bengal,Cotton,6.7,1213.32,15.52,1.53,7,84.92,47.88,12.22,55.68,Drought-resistant Crops,694.3
1998,India,Punjab,Vegetables,21.91,1399.78,2.42,1.94,8,10.11,9.22,67.27,50.58,Water Management,375.91
2019,India,Maharashtra,Cotton,9.31,2548.23,22.27,0.936,4,15.74,23.63,66.95,48.2,Water Management,95.8
2023,India,Maharashtra,Sugarcane,14.27,2954.33,2.39,1.87,5,15.04,38.84,56.65,81.96,Drought-resistant Crops,763.24
1997,India,West Bengal,Rice,23.86,2539.83,2.42,1.88,9,71.96,47.03,14.43,91.98,Crop Rotation,214.53
1994,India,Maharashtra,Corn,34.28,2248.58,8.89,2.99,3,39.85,36.21,8.95,71.65,Water Management,1247.44
2017,India,Maharashtra,Coffee,31.93,532.64,21.41,1.044,0,62.51,22.49,99.79,61.09,Water Management,519.1
1995,India,Maharashtra,Cotton,-0.4,2788.93,16.98,0.666,9,55.32,49.46,8.36,98.18,Crop Rotation,266.42
2023,India,Punjab,Soybeans,31.59,1879.14,15.02,0.855,1,43.42,4.18,66.02,91.63,Water Management,356.66
2005,India,Tamil Nadu,Rice,-2.77,285.81,13.77,2.592,8,22.99,37.37,97.71,47.9,Crop Rotation,417.37
2019,India,Punjab,Cotton,27.86,2996.7,13.97,2.75,9,41.14,46.13,79.5,52.51,Organic Farming,413.5
1990,India,Maharashtra,Cotton,8.34,1431.33,15.11,1.359,7,51.81,43.65,2.97,53.76,Organic Farming,361.27
2003,India,Tamil Nadu,Corn,19.87,1335.61,21.82,2.286,8,54.8,1.57,48.79,45,No Adaptation,457.37
2004,India,Punjab,Barley,27.62,1698.53,26.18,3.393,1,41.33,20.01,75.75,83.6,No Adaptation,560.64
2016,India,West Bengal,Cotton,19.28,1673.75,24.72,3.375,2,31.43,4.59,26.64,51.92,Organic Farming,1252.83
2024,India,West Bengal,Soybeans,8.58,1703.43,18.96,1.224,2,45.64,28.04,17.99,60.84,No Adaptation,123.53
2008,India,Tamil Nadu,Rice,8.41,1293.21,9.83,1.04,3,69.54,5.35,73.78,30.81,Organic Farming,212.94
2004,India,West Bengal,Barley,26.84,2540.63,20.2,0.765,10,63.61,39.71,51.17,30.66,Crop Rotation,329.81
2015,India,Punjab,Fruits,33.75,386.13,11.73,2.691,9,82.09,12.23,9.27,56.61,Drought-resistant Crops,1105.58
1990,India,Maharashtra,Wheat,16.29,963.43,11.81,1.63,10,26.32,22.06,14.27,47.05,No Adaptation,205.83
1994,India,West Bengal,Sugarcane,-1.96,1415.42,16.72,1.809,9,68.96,47.98,36.89,83.62,Water Management,639.2
2006,India,Maharashtra,Vegetables,29.94,614.42,7.86,2.87,4,22.3,28.1,7.99,74.44,Organic Farming,512.35
2000,India,West Bengal,Corn,31.64,269.76,26.32,0.783,2,52.18,48.33,32.91,60.93,Organic Farming,340.98
2011,India,Punjab,Coffee,7.8,454.64,21,0.45,8,44.88,26.45,49.56,83.97,No Adaptation,189.53
2010,India,Tamil Nadu,Cotton,31.79,421.91,20.75,1.386,8,17.12,29.38,18.74,81.09,Drought-resistant Crops,329.94
2023,India,Punjab,Barley,5.34,286.49,24.96,1.845,6,55.74,8.41,84.49,61.58,Water Management,406.24
2019,India,Tamil Nadu,Coffee,12.44,2300.43,24.86,2.151,9,79.1,5.83,93.07,95.47,No Adaptation,805.37
1993,India,Tamil Nadu,Sugarcane,16.35,1511.86,5.37,4.19,8,10.61,42.1,77.86,70.39,Crop Rotation,1229.29
2024,India,West Bengal,Vegetables,12.88,2513.63,11.45,4.58,7,98.51,15.11,93.91,56.84,Drought-resistant Crops,1191.47
2022,India,West Bengal,Sugarcane,5.75,2173.17,29.15,2.187,0,85.43,33.33,59.93,37.53,Organic Farming,923.47
2009,India,Punjab,Fruits,21.04,2872.17,10.56,3.14,5,75.9,44.47,33.49,90.84,Water Management,775.06
1991,India,Maharashtra,Fruits,-2.82,2041.6,2.7,2.94,8,67.72,4.95,39.26,69.86,Crop Rotation,1324.72
2001,India,West Bengal,Barley,21.96,1177.96,20.45,1.728,3,52.82,1.28,45.74,79.52,Crop Rotation,466.81
2011,India,Tamil Nadu,Soybeans,29.99,426.81,24.09,2.79,5,12.3,8.01,3.38,57.93,Water Management,978.7
2016,India,Tamil Nadu,Wheat,11.92,530.14,25.51,2.385,0,13.03,8.43,3.92,59.97,Water Management,757.48
2019,India,West Bengal,Wheat,6.54,1232.89,9.43,0.77,4,29.82,37.6,84.55,84.45,Drought-resistant Crops,80.48
2019,India,Maharashtra,Coffee,25.55,276.15,13.67,3.249,1,84.86,11.19,33.23,95.89,Organic Farming,901.83
1991,India,Punjab,Soybeans,-3.53,1515.32,17.09,1.062,9,88.52,37.46,68.79,58.73,Water Management,258.87
2019,India,Maharashtra,Rice,31.48,927.87,0.81,3.62,3,98.41,14.62,17.16,72.46,Organic Farming,656.87
2002,India,Tamil Nadu,Corn,5.94,371.87,29.64,2.565,2,64.04,17.24,6.41,77.46,Organic Farming,921.74
1990,India,West Bengal,Wheat,26.72,1630.15,22.54,1.152,1,35,1.37,2.62,42.89,Organic Farming,295.24
1991,India,Tamil Nadu,Vegetables,23.64,1385.82,22.19,2.205,5,45.74,44.06,19.55,54.15,No Adaptation,701.88
1998,India,West Bengal,Soybeans,31.21,2932.19,27.33,2.754,9,65.32,49.85,64.42,55.41,Water Management,862.91
2019,India,West Bengal,Fruits,31.25,1003.01,18.26,2.043,2,24.86,21.48,32.8,55.11,Organic Farming,478.33
1998,India,Tamil Nadu,Cotton,23.28,2118.05,3.33,2.82,3,13.16,3.07,35.22,44.14,No Adaptation,1097.09
1996,India,West Bengal,Barley,15.63,2219.75,4.84,3.56,0,35.81,3.52,46.27,54.21,Crop Rotation,1771.36
2020,India,Tamil Nadu,Wheat,0.71,2496.96,8.08,2.4,6,41.04,47.94,18.86,88.93,No Adaptation,997.4
2014,India,Punjab,Barley,-0.91,872.85,10.18,0.71,10,55.49,7.82,85.91,34.21,Crop Rotation,158.06
1995,India,Punjab,Barley,30.42,2754.27,17.76,1.557,3,21.53,0.39,23.31,54.76,Organic Farming,463.87
1990,India,West Bengal,Cotton,15.74,1928.01,17.4,2.448,0,51.18,22.82,62.05,76.31,Crop Rotation,1072.92
2006,India,West Bengal,Cotton,26.12,1621.95,9.11,3.7,3,79.07,5.5,9.5,32.23,Water Management,568.39
1998,India,Maharashtra,Wheat,-4.68,2666.98,23.06,1.62,7,27.45,21.39,22.11,85.97,Organic Farming,543.92
1990,India,Punjab,Sugarcane,0.79,1972.87,14.66,2.25,3,82.7,9.81,83.32,50.88,No Adaptation,701.78
2005,India,Punjab,Cotton,3.98,594.1,28.32,2.412,1,30.6,31.88,5.67,80.17,Organic Farming,603.42
2012,India,Maharashtra,Barley,18.53,1176.45,13.17,3.47,6,69.28,17.96,85.95,89.13,No Adaptation,916.58
2006,India,Maharashtra,Coffee,19.82,1852.81,29.39,4.401,7,57.92,24.28,85.89,62.57,Crop Rotation,515.38
2000,India,Punjab,Sugarcane,7.05,2139.94,29.87,1.62,5,23.99,13.19,59.96,32.95,Water Management,777.4
1999,India,Maharashtra,Soybeans,12.87,462.3,0.78,3.636,1,97.14,2.32,31.31,54.59,Organic Farming,549.95
2005,India,Maharashtra,Wheat,22.47,759.4,8.39,3.32,3,64.31,4.08,51.64,81.13,Crop Rotation,488.23
2016,India,Tamil Nadu,Vegetables,29.83,2065.62,0.62,1.96,7,23.28,26.9,71.62,55.75,Crop Rotation,632.55
1995,India,Maharashtra,Sugarcane,11.83,786.06,2.41,2.27,8,76.47,11.6,16.92,73.71,Drought-resistant Crops,784.5
2001,India,West Bengal,Cotton,23.34,383.62,19.02,1.188,10,92.84,33.14,4.8,70.81,Crop Rotation,244.07
2022,India,Maharashtra,Soybeans,24.45,2793.27,13.26,3.55,0,92.74,45.68,13.31,75.87,Organic Farming,500.87
2007,India,Tamil Nadu,Corn,30.79,2848.05,22.91,2.124,10,16.79,32.52,88.31,81.65,No Adaptation,453.09
2009,India,West Bengal,Sugarcane,9.4,2933.25,8.05,2.25,1,71.18,10.65,75.71,54.44,No Adaptation,443.35
2001,India,Tamil Nadu,Vegetables,3.41,2349.19,18.95,1.431,6,36.02,30.07,73.95,68.44,No Adaptation,417.85
1999,India,Maharashtra,Vegetables,6.78,1717.65,19.76,1.944,0,95.67,20.59,63.4,86.62,No Adaptation,969.27
1991,India,Maharashtra,Barley,10.84,2285.89,28.31,2.619,1,58.27,44.07,31.66,78.77,Drought-resistant Crops,870.1
2014,India,Tamil Nadu,Coffee,30.13,2259.49,0.53,2.9,10,13.38,33.15,92.52,49.36,Organic Farming,494.8
1998,India,Tamil Nadu,Cotton,13.34,2335.32,12.81,2.66,0,15.29,37.6,26.33,70.41,Organic Farming,1199.78
2024,India,Maharashtra,Barley,30.16,1099.39,18.44,2.142,0,17.98,19.21,11.99,75.2,Crop Rotation,343.85
2017,India,Punjab,Cotton,4.26,1829.43,26.99,2.331,4,42.92,47.27,82.3,53.15,Crop Rotation,268.9
2000,India,Tamil Nadu,Coffee,1.55,1964.44,18.9,0.603,0,88.81,26.08,53.28,47.52,Organic Farming,71.53
2023,India,West Bengal,Soybeans,16.59,2941.18,3.41,3.5,5,80.8,4.62,62.86,89.86,Organic Farming,1350.56
2021,India,Maharashtra,Rice,21.19,2391.71,29.56,0.747,3,75.26,41.98,40.19,56.54,No Adaptation,270.4
2014,India,Punjab,Soybeans,7.83,1099.19,19.22,1.611,3,30.34,48.5,96.78,93.7,Organic Farming,503.24
2013,India,Punjab,Coffee,8.68,2508.71,14.44,1.96,3,71.52,37.89,88.11,96.39,No Adaptation,400.79
2005,India,Maharashtra,Sugarcane,25.45,1752.08,13.27,1,7,38.72,31.01,68.66,81.81,Drought-resistant Crops,216.73
2008,India,West Bengal,Coffee,24.31,1472.48,5.75,2.23,0,64.15,20.7,38.22,95.42,No Adaptation,1041.87
2019,India,Tamil Nadu,Fruits,-2.57,500.06,7.03,2.99,5,23.69,1.86,65.55,44.7,Organic Farming,370.97
2019,India,Punjab,Wheat,-0.87,2760.2,16.42,0.531,1,52.96,36.69,30.7,52.73,Crop Rotation,254.61
2015,India,Punjab,Rice,-3.6,2151.2,13.28,1.84,0,20.65,23.69,93.45,35.79,Water Management,545.4
1990,India,Tamil Nadu,Vegetables,25.49,1512.68,0.54,1.08,5,66.52,7.81,2.9,53.47,Water Management,298.01
2010,India,West Bengal,Rice,12.92,2525.69,21.94,3.267,4,42.57,3.33,13.04,53.23,Organic Farming,650.07
1992,India,Maharashtra,Wheat,0.55,2277.86,25.22,1.692,4,25.6,45.44,53.56,45.06,No Adaptation,656.75
2009,India,Tamil Nadu,Soybeans,1.89,437.55,7.3,2.277,9,43.06,39.21,72.82,76.99,No Adaptation,431.31
2019,India,West Bengal,Sugarcane,4.47,1289.82,4.22,1.73,6,25.43,37.41,10.46,74.91,Organic Farming,864.42
2008,India,Tamil Nadu,Soybeans,3.55,2611.47,25.62,1.98,9,55.49,6.14,13.34,57.08,Water Management,755.39
2002,India,Tamil Nadu,Vegetables,20.42,2644.02,11.67,3.65,4,69.96,37.31,41.35,96.14,Drought-resistant Crops,1513.03
2018,India,Maharashtra,Corn,32.08,2679.77,28.05,2.052,9,64.47,45.44,2.07,33.8,Water Management,321.7
2019,India,Punjab,Fruits,18.33,984.19,22.08,3.33,9,11.13,19.24,92.59,33.67,No Adaptation,1413.72
2020,India,Tamil Nadu,Sugarcane,27.63,1201.23,6.12,1.11,7,88.52,36.49,47.21,71.17,Drought-resistant Crops,482.06
2001,India,West Bengal,Vegetables,27.11,2456.31,26.16,1.8,7,26.82,14.07,4.31,54.33,Water Management,402.39
2011,India,Punjab,Rice,1.49,2771.8,27.14,1.44,7,98.42,23.63,92.91,64.18,Organic Farming,330.28
2005,India,Punjab,Wheat,20.43,2935.13,19.72,3.177,7,94.43,15.05,0.65,94.69,No Adaptation,1233.99
2016,India,West Bengal,Corn,22.79,764.04,7.29,1.28,6,79.64,44.5,35.5,66.45,Crop Rotation,196.88
2000,India,West Bengal,Cotton,4.59,798.78,6.6,1.48,2,61.09,42.38,50.64,84.11,No Adaptation,532.56
1990,India,Tamil Nadu,Sugarcane,-2.29,2018.84,7.65,2.32,7,39.39,44.08,5.27,95.71,Crop Rotation,422.99
2001,India,Maharashtra,Barley,31.95,712.14,8.89,1.41,3,23.91,12.49,35.98,72.26,Water Management,406.28
2008,India,West Bengal,Corn,-0.53,2464.04,9.01,0.53,4,14.6,30.18,80.57,61.59,Drought-resistant Crops,110.18
1990,India,Punjab,Vegetables,14.53,983.96,21.45,2.394,2,75.39,42.01,34.17,89.83,Organic Farming,726.36
2022,India,Tamil Nadu,Rice,30.93,1854.35,16,1.665,4,52.91,14.34,8.22,44.69,No Adaptation,677
2004,India,Tamil Nadu,Cotton,30.05,1196.52,23.34,2.232,5,87.23,27.67,12.17,74.81,No Adaptation,1009.04
2015,India,Maharashtra,Coffee,22.51,752.97,2.22,3.08,1,55.57,7.21,97,67.96,Crop Rotation,1309.4
2017,India,Punjab,Sugarcane,-4.08,673.41,3.98,0.95,9,76.06,33.19,88.57,75.49,Water Management,346.48
2016,India,Tamil Nadu,Coffee,14.49,2937.51,1.86,1.84,9,34.83,2.19,79.08,98.01,Organic Farming,621.39
2003,India,Maharashtra,Sugarcane,3.68,2185.4,3.82,2.31,7,73.01,8.76,56.22,32.69,Water Management,1099.19
